"","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotBaths","Remod","HAge","NewH","TotalSqFt","TotalPorchSF","Id"
"770","2 story 1946 & newer","RL",47,53504,1,"None",1,"HLS","CulDSac",1,"StoneBr","Norm","Norm","1Fam","2Story",8,5,2003,2003,"Hip","CompShg","CemntBd","Wd Shng",1,603,5,3,"PConc",4,3,4,5,1416,1,0,234,1650,"GasA",5,1,"SBrkr",1690,1589,0,3279,1,0,3,1,4,1,5,12,4,1,4,"BuiltIn",2003,3,3,841,3,3,2,503,36,0,0,210,0,0,"None","None",0,"6","2010","WD","Normal",538000,4.5,0,7,0,4929,246,770
"771","split foyer","RL",8,7252,1,"None",2,"Lvl","CulDSac",2,"Sawyer","Norm","Norm","1Fam","SFoyer",5,5,1982,1982,"Hip","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"CBlock",4,3,3,6,685,1,0,173,858,"GasA",3,1,"SBrkr",858,0,0,858,1,0,1,0,2,1,3,5,7,0,0,"Detchd",1983,1,2,576,3,3,2,120,0,0,0,0,0,0,"None","None",0,"4","2009","WD","Normal",134900,2,0,27,0,1716,0,771
"772","1 story 1946 & newer","RL",67,8877,1,"None",3,"Lvl","Inside",2,"Edwards","Norm","Norm","1Fam","1Story",4,5,1951,1951,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"CBlock",2,2,1,2,836,1,0,0,836,"GasA",3,1,"FuseF",1220,0,0,1220,0,0,1,0,2,1,3,6,7,0,0,"Detchd",1951,1,2,396,3,3,2,0,0,0,0,0,0,0,"None","None",0,"4","2006","COD","Normal",102000,1,0,55,0,2056,0,772
"773","split/multi level","RL",94,7819,1,"None",3,"Lvl","Inside",2,"Edwards","Norm","Norm","1Fam","SLvl",6,5,1976,1976,"Gable","CompShg","Plywood","Plywood",0,0,3,3,"CBlock",3,3,3,5,422,4,127,480,1029,"GasA",3,1,"SBrkr",1117,0,0,1117,1,0,1,0,3,1,3,6,7,1,3,"Detchd",1976,1,2,672,3,3,2,144,0,0,0,0,0,0,"MnPrv","None",0,"3","2010","WD","Abnorml",107000,2,0,34,0,2146,0,773
"774","1 story 1946 & newer","RL",70,10150,1,"None",3,"Lvl","Inside",2,"NAmes","Feedr","Norm","1Fam","1Story",5,5,1958,1958,"Gable","CompShg","Wd Sdng","Wd Sdng",0,1,3,3,"CBlock",3,3,1,3,456,1,0,456,912,"GasA",5,1,"FuseA",912,0,0,912,0,0,1,0,2,1,3,5,7,0,0,"Attchd",1958,2,1,275,3,3,2,0,0,0,0,0,0,0,"None","None",0,"7","2007","COD","Normal",114500,1,0,49,0,1824,0,774
"775","1 story 1946 & newer","RL",110,14226,1,"None",3,"Lvl","Corner",2,"NridgHt","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd",1,375,4,3,"PConc",4,3,3,1,0,1,0,1935,1935,"GasA",4,1,"SBrkr",1973,0,0,1973,0,0,2,0,3,1,4,9,7,1,4,"Attchd",2006,3,3,895,3,3,2,315,45,0,0,0,0,0,"None","None",0,"7","2007","New","Partial",395000,2,0,1,0,3908,45,775
"776","1 story PUD 1946 & newer","RM",32,4500,1,"None",3,"Lvl","FR2",2,"Mitchel","Norm","Norm","TwnhsE","1Story",6,5,1998,1998,"Hip","CompShg","VinylSd","VinylSd",1,320,3,3,"PConc",5,3,1,6,866,1,0,338,1204,"GasA",5,1,"SBrkr",1204,0,0,1204,1,0,2,0,2,1,3,5,7,0,0,"Attchd",1998,3,2,412,3,3,2,0,247,0,0,0,0,0,"None","None",0,"6","2009","WD","Normal",162000,3,0,11,0,2408,247,776
"777","1 story 1946 & newer","RL",86,11210,1,"None",2,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd",1,240,4,3,"PConc",4,3,3,6,20,1,0,1594,1614,"GasA",5,1,"SBrkr",1614,0,0,1614,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2005,2,3,865,3,3,2,144,59,0,0,0,0,0,"None","None",0,"7","2006","New","Partial",221500,2,1,0,0,3228,59,777
"778","1 story 1946 & newer","RL",100,13350,1,"None",2,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",5,5,1974,1974,"Hip","CompShg","HdBoard","Plywood",0,0,3,3,"CBlock",3,3,1,5,762,1,0,102,864,"GasA",3,1,"SBrkr",894,0,0,894,1,0,1,0,3,1,3,5,7,1,2,"Attchd",1974,1,2,440,3,3,2,241,0,0,0,0,0,0,"MnPrv","None",0,"6","2006","WD","Normal",142500,2,0,32,0,1758,0,778
"779","duplex all style/age","RH",60,8400,1,"None",3,"Lvl","Inside",2,"SawyerW","Feedr","Norm","Duplex","1Story",5,5,1977,1977,"Gable","CompShg","Plywood","Plywood",1,320,3,3,"Slab",0,0,0,0,0,0,0,0,0,"GasA",3,1,"SBrkr",2020,0,0,2020,0,0,2,0,4,2,3,10,7,2,3,"Detchd",1977,1,2,630,3,3,2,0,0,0,0,0,0,0,"None","None",0,"10","2007","WD","Normal",144000,2,0,30,0,2020,0,779
"780","duplex all style/age","RL",78,10530,1,"None",3,"Lvl","Inside",2,"Mitchel","Norm","Norm","Duplex","SFoyer",6,5,1977,1977,"Gable","CompShg","Plywood","ImStucc",1,90,3,3,"CBlock",4,3,4,6,975,1,0,0,975,"GasA",3,1,"SBrkr",1004,0,0,1004,1,0,1,0,2,1,3,4,7,0,0,"Attchd",1977,1,2,504,3,3,2,0,0,0,0,0,0,0,"None","None",0,"5","2006","WD","Normal",135000,2,0,29,0,1979,0,780
"781","1 story 1946 & newer","RL",63,7875,1,"None",3,"Lvl","Inside",2,"Gilbert","Norm","Norm","1Fam","1Story",7,5,1995,1996,"Gable","CompShg","HdBoard","HdBoard",1,38,3,3,"PConc",4,4,1,1,0,1,0,1237,1237,"GasA",4,1,"SBrkr",1253,0,0,1253,0,0,2,0,3,1,3,6,7,1,3,"Attchd",1995,3,2,402,3,3,2,220,21,0,0,0,0,0,"None","None",0,"6","2007","WD","Normal",176000,2,1,11,0,2490,21,781
"782","2 story 1946 & newer","RL",65,7153,1,"None",3,"Lvl","Inside",2,"SawyerW","Norm","Norm","1Fam","2Story",6,5,1992,1992,"Gable","CompShg","VinylSd","VinylSd",0,0,4,4,"PConc",4,3,1,5,387,1,0,374,761,"GasA",5,1,"SBrkr",810,793,0,1603,0,0,2,1,3,1,4,7,7,0,0,"Attchd",1992,2,2,484,3,3,2,0,124,0,0,0,0,0,"None","None",0,"7","2006","WD","Normal",175900,2.5,0,14,0,2364,124,782
"783","1 story 1946 & newer","RL",67,16285,1,"None",1,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd",0,0,4,3,"PConc",4,3,1,1,0,1,0,1413,1413,"GasA",5,1,"SBrkr",1430,0,0,1430,0,0,2,0,3,1,4,6,7,0,0,"Attchd",2001,2,2,605,3,3,2,0,33,0,0,0,0,0,"None","None",0,"6","2009","WD","Normal",187100,2,1,7,0,2843,33,783
"784","split foyer","RL",104,9101,1,"None",2,"Lvl","Corner",2,"Mitchel","Norm","Norm","1Fam","SFoyer",5,6,1978,1978,"Gable","CompShg","Plywood","Plywood",1,104,3,4,"PConc",4,3,3,6,1097,1,0,0,1097,"GasA",5,1,"SBrkr",1110,0,0,1110,1,0,1,0,1,1,4,4,7,1,3,"Attchd",1978,3,2,602,3,3,2,303,30,0,0,0,0,0,"None","None",0,"7","2009","WD","Normal",165500,2,0,31,0,2207,30,784
"785","2.5 story all ages","RM",35,6300,1,"Grvl",3,"Lvl","Inside",2,"OldTown","Norm","Norm","1Fam","2.5Unf",6,6,1914,2001,"Gable","CompShg","Wd Sdng","Wd Shng",0,0,3,3,"CBlock",3,3,1,1,0,1,0,742,742,"GasA",5,1,"SBrkr",742,742,0,1484,0,0,2,0,3,1,3,9,7,1,4,"No Garage",1914,0,0,0,0,0,2,0,291,134,0,0,0,0,"None","None",0,"6","2008","WD","Normal",128000,2,1,7,0,2226,425,785
"786","1 story 1946 & newer","RL",53,9790,1,"None",3,"Lvl","Inside",2,"NWAmes","Feedr","Norm","1Fam","1Story",6,5,1967,1967,"Gable","CompShg","BrkFace","Wd Sdng",0,0,3,3,"CBlock",3,3,1,3,251,2,630,491,1372,"GasA",3,1,"SBrkr",1342,0,0,1342,0,0,2,0,3,1,3,7,7,1,4,"Attchd",1967,1,2,457,3,3,2,0,0,0,0,197,0,0,"None","None",0,"9","2009","WD","Normal",161500,2,0,42,0,2714,197,786
"787","1.5 story fin all ages","RM",60,10800,1,"None",3,"Lvl","Inside",2,"OldTown","Artery","Norm","1Fam","1.5Fin",5,6,1915,1950,"Gable","CompShg","MetalSd","MetalSd",0,0,3,4,"PConc",2,3,1,2,686,1,0,0,686,"GasA",3,1,"SBrkr",966,686,0,1652,1,0,2,0,4,1,3,7,7,0,0,"Detchd",1961,1,1,416,3,3,2,0,0,196,0,0,0,0,"None","Shed",1200,"6","2010","WD","Normal",139000,3,1,60,0,2338,196,787
"788","2 story 1946 & newer","RL",76,10142,1,"None",2,"Lvl","Inside",2,"SawyerW","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd",0,0,4,3,"PConc",4,3,1,6,656,1,0,300,956,"GasA",5,1,"SBrkr",956,1128,0,2084,1,0,2,1,4,1,4,8,7,0,0,"BuiltIn",2004,2,2,618,3,3,2,0,45,0,0,0,0,0,"None","None",0,"1","2010","WD","Normal",233000,3.5,0,6,0,3040,45,788
"789","1 story 1946 & newer","RM",50,6000,1,"None",3,"Lvl","Corner",2,"OldTown","Norm","Norm","1Fam","1Story",4,7,1954,2000,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"CBlock",3,3,1,1,0,1,0,901,901,"GasA",5,1,"SBrkr",901,0,0,901,0,0,1,0,2,1,3,4,7,0,0,"Detchd",1954,1,1,281,2,3,2,0,0,0,0,0,0,0,"None","None",0,"8","2008","WD","Normal",107900,1,1,8,0,1802,0,789
"790","2 story 1946 & newer","RL",121,12205,1,"None",2,"Low","Inside",2,"ClearCr","Norm","Norm","1Fam","2Story",6,8,1966,2007,"Gable","CompShg","HdBoard","HdBoard",1,157,3,3,"CBlock",3,2,4,2,568,1,0,264,832,"GasA",4,1,"SBrkr",976,1111,0,2087,0,0,2,1,5,1,4,9,7,0,0,"Attchd",1966,3,2,444,3,3,2,133,168,0,0,0,0,0,"None","None",0,"7","2007","WD","Normal",187500,2.5,1,0,0,2919,168,790
"791","1 story PUD 1946 & newer","RL",43,3182,1,"None",3,"Lvl","Inside",2,"Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd",1,11,4,3,"PConc",4,3,1,6,16,1,0,1129,1145,"GasA",5,1,"SBrkr",1145,0,0,1145,0,0,2,0,2,1,4,5,7,1,4,"Attchd",2005,3,2,397,3,3,2,100,16,0,0,0,0,0,"None","None",0,"9","2009","WD","Normal",160200,2,1,3,0,2290,16,791
"792","split/multi level","RL",89,11333,1,"None",2,"Lvl","Corner",2,"Mitchel","Norm","Norm","1Fam","SLvl",6,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard",0,0,3,3,"PConc",4,3,3,5,539,1,0,490,1029,"GasA",3,1,"SBrkr",1062,0,0,1062,1,0,1,0,3,1,3,5,7,2,3,"Attchd",1976,2,2,539,3,3,2,120,0,0,0,0,0,0,"None","None",0,"5","2007","WD","Normal",146800,2,0,31,0,2091,0,792
"793","2 story 1946 & newer","RL",92,9920,1,"None",2,"Lvl","CulDSac",2,"NoRidge","Norm","Norm","1Fam","2Story",7,5,1996,1997,"Gable","CompShg","MetalSd","MetalSd",0,0,4,3,"PConc",4,3,3,6,862,1,0,255,1117,"GasA",5,1,"SBrkr",1127,886,0,2013,1,0,2,1,3,1,3,8,7,1,3,"Attchd",1997,1,2,455,3,3,2,180,130,0,0,0,0,0,"None","None",0,"6","2007","WD","Normal",269790,3.5,1,10,0,3130,130,793
"794","1 story 1946 & newer","RL",76,9158,1,"None",3,"Lvl","Inside",2,"Somerst","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","CemntBd","CmentBd",2,140,4,3,"PConc",4,3,3,1,0,1,0,1496,1496,"GasA",5,1,"SBrkr",1496,0,0,1496,0,0,2,0,3,1,4,7,7,0,0,"Attchd",2007,3,2,474,3,3,2,168,130,0,0,0,0,0,"None","None",0,"6","2007","New","Partial",225000,2,0,0,1,2992,130,794
"795","2 story 1946 & newer","RL",85,10832,1,"None",2,"Lvl","Corner",2,"Gilbert","Norm","Norm","1Fam","2Story",7,5,1994,1996,"Gable","CompShg","MetalSd","MetalSd",0,0,4,3,"PConc",4,3,1,1,0,1,0,712,712,"GasA",5,1,"SBrkr",1086,809,0,1895,0,0,2,1,3,1,4,7,7,1,3,"Attchd",1994,3,2,409,3,3,2,143,46,0,0,0,0,0,"None","Shed",500,"10","2008","WD","Normal",194500,2.5,1,12,0,2607,46,795
"796","2 story 1946 & newer","RL",70,8400,1,"None",3,"Lvl","Inside",2,"SawyerW","Norm","Norm","1Fam","2Story",6,6,1980,1981,"Gable","CompShg","HdBoard","HdBoard",1,130,3,3,"CBlock",4,3,1,1,0,1,0,650,650,"GasA",3,1,"SBrkr",888,676,0,1564,0,0,2,1,3,1,3,7,7,1,3,"Attchd",1980,1,2,476,3,3,2,0,50,0,0,204,0,0,"MnPrv","None",0,"4","2010","WD","Normal",171000,2.5,1,29,0,2214,254,796
"797","1 story 1946 & newer","RL",71,8197,1,"None",3,"Lvl","Inside",2,"Sawyer","Norm","Norm","1Fam","1Story",6,5,1977,1977,"Gable","CompShg","Plywood","Plywood",1,148,3,3,"CBlock",3,3,1,1,0,1,0,660,660,"GasA",5,1,"SBrkr",1285,0,0,1285,0,0,1,1,3,1,3,7,7,1,3,"Attchd",1977,2,2,528,3,3,2,138,0,0,0,0,0,0,"MnPrv","None",0,"4","2007","WD","Normal",143500,1.5,0,30,0,1945,0,797
"798","1 story 1946 & newer","RL",57,7677,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,5,1953,1953,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"CBlock",3,3,1,4,570,1,0,203,773,"GasA",4,1,"SBrkr",773,0,0,773,0,0,1,0,2,1,3,4,7,0,0,"Attchd",1953,1,1,240,3,3,2,0,0,0,0,0,0,0,"None","None",0,"4","2008","WD","Abnorml",110000,1,0,55,0,1546,0,798
"799","2 story 1946 & newer","RL",104,13518,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2008,2009,"Hip","CompShg","VinylSd","VinylSd",2,860,5,3,"PConc",5,3,1,1,0,1,0,1926,1926,"GasA",5,1,"SBrkr",1966,1174,0,3140,0,0,3,1,4,1,5,11,7,2,4,"BuiltIn",2009,3,3,820,3,3,2,144,78,0,0,0,0,0,"None","None",0,"7","2009","New","Partial",485000,3.5,1,0,0,5066,78,799
"800","1.5 story fin all ages","RL",60,7200,1,"None",3,"Lvl","Corner",2,"SWISU","Feedr","Norm","1Fam","1.5Fin",5,7,1937,1950,"Gable","CompShg","Wd Sdng","Wd Sdng",1,252,3,3,"BrkTil",4,3,1,5,569,1,0,162,731,"GasA",5,1,"SBrkr",981,787,0,1768,1,0,1,1,3,1,4,7,7,2,3,"Detchd",1939,1,1,240,3,3,2,0,0,264,0,0,0,0,"MnPrv","None",0,"6","2007","WD","Normal",175000,2.5,1,57,0,2499,264,800
"801","2 story 1946 & newer","RL",79,12798,1,"None",2,"HLS","Inside",1,"ClearCr","Feedr","Norm","1Fam","2Story",6,5,1997,1997,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"PConc",4,3,4,6,462,1,0,154,616,"GasA",4,1,"SBrkr",616,1072,0,1688,1,0,2,1,4,1,4,8,7,0,0,"Attchd",1997,2,2,603,3,3,2,403,114,185,0,0,0,0,"None","Shed",400,"5","2008","WD","Normal",200000,3.5,0,11,0,2304,299,801
"802","1 story 1945 & older","RM",40,4800,1,"None",3,"Lvl","Inside",2,"IDOTRR","Norm","Norm","1Fam","1Story",4,7,1916,1990,"Gable","CompShg","MetalSd","MetalSd",0,0,3,3,"CBlock",3,3,1,2,197,1,0,999,1196,"GasA",5,1,"FuseA",1196,0,0,1196,1,0,1,0,2,1,3,5,7,0,0,"Detchd",1957,1,2,440,3,3,2,0,0,0,0,0,0,0,"None","None",0,"7","2007","WD","Normal",109900,2,1,17,0,2392,0,802
"803","2 story 1946 & newer","RL",63,8199,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2005,2005,"Gable","CompShg","WdShing","Wd Shng",0,0,4,3,"PConc",4,3,3,6,648,1,0,80,728,"GasA",5,1,"SBrkr",728,728,0,1456,1,0,2,1,3,1,4,7,7,1,4,"Attchd",2005,3,2,410,3,3,2,36,18,0,0,0,0,0,"None","None",0,"10","2008","WD","Normal",189000,3.5,0,3,0,2184,18,803
"804","2 story 1946 & newer","RL",107,13891,1,"None",3,"Lvl","Inside",2,"NridgHt","Norm","Norm","1Fam","2Story",9,5,2008,2009,"Hip","CompShg","VinylSd","VinylSd",2,424,5,3,"PConc",5,3,4,1,0,1,0,1734,1734,"GasA",5,1,"SBrkr",1734,1088,0,2822,0,0,3,1,4,1,5,12,7,1,4,"BuiltIn",2009,2,3,1020,3,3,2,52,170,0,0,192,0,0,"None","None",0,"1","2009","New","Partial",582933,3.5,1,0,0,4556,362,804
"805","1 story 1946 & newer","RL",75,9000,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",5,5,1954,1954,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"CBlock",3,3,1,2,812,1,0,124,936,"GasA",3,1,"SBrkr",1128,0,0,1128,0,0,1,0,2,1,3,5,6,0,0,"Attchd",1954,1,1,286,3,3,2,0,0,0,0,0,0,0,"GdWo","None",0,"6","2006","WD","Family",118000,1,0,52,0,2064,0,805
"806","1 story 1946 & newer","RL",91,12274,1,"None",2,"Lvl","FR2",2,"Somerst","Norm","Norm","1Fam","1Story",7,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd",2,256,4,3,"PConc",4,3,1,1,0,1,0,1417,1417,"GasA",5,1,"SBrkr",1428,0,0,1428,0,0,2,0,3,1,5,6,7,0,0,"Attchd",2008,2,2,554,3,3,2,0,60,0,0,0,0,0,"None","None",0,"7","2008","New","Partial",227680,2,0,0,1,2845,60,806
"807","split/multi level","RL",75,9750,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","SLvl",5,5,1967,1967,"Gable","CompShg","VinylSd","VinylSd",0,0,3,3,"PConc",3,3,3,5,400,3,480,100,980,"GasA",4,1,"SBrkr",980,0,0,980,0,0,2,0,3,1,3,6,7,0,0,"Attchd",1967,3,1,384,3,3,2,68,0,0,0,0,0,0,"None","None",0,"10","2006","WD","Normal",135500,2,0,39,0,1960,0,807
"808","2 story 1945 & older","RL",144,21384,1,"None",3,"Lvl","Inside",2,"BrkSide","Norm","Norm","1Fam","2Story",5,6,1923,2004,"Gable","CompShg","Wd Sdng","Wd Sdng",0,0,3,3,"CBlock",3,3,4,6,1309,1,0,15,1324,"GasA",5,1,"SBrkr",1072,504,0,1576,2,0,1,1,3,1,4,6,7,1,3,"Attchd",1923,2,2,528,3,3,2,0,312,0,0,0,0,0,"None","None",0,"5","2009","WD","Normal",223500,3.5,1,5,0,2900,312,808
"809","split/multi level","RL",85,13400,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","SLvl",5,5,1966,1966,"Gable","CompShg","VinylSd","VinylSd",1,1047,3,3,"CBlock",3,3,3,5,516,4,128,380,1024,"GasA",3,1,"SBrkr",1086,0,0,1086,1,0,1,0,3,1,3,6,7,1,4,"Attchd",1966,2,2,484,3,3,2,0,0,0,0,0,0,0,"GdWo","None",0,"6","2006","WD","Normal",159950,2,0,40,0,2110,0,809
"810","2.5 story all ages","RM",90,8100,1,"None",3,"Lvl","Corner",2,"OldTown","Norm","Norm","1Fam","2.5Unf",5,5,1898,1965,"Hip","CompShg","AsbShng","AsbShng",0,0,3,3,"PConc",3,3,1,1,0,1,0,849,849,"GasA",3,0,"FuseA",1075,1063,0,2138,0,0,2,0,2,3,3,11,7,0,0,"Detchd",1910,1,2,360,2,1,0,40,156,0,0,0,0,0,"MnPrv","None",0,"11","2009","WD","Normal",106000,2,1,44,0,2987,156,810
"811","1 story 1946 & newer","RL",78,10140,1,"None",3,"Lvl","Inside",2,"NWAmes","Norm","Norm","1Fam","1Story",6,6,1974,1999,"Hip","CompShg","HdBoard","HdBoard",1,99,3,3,"CBlock",3,3,1,5,663,2,377,0,1040,"GasA",2,1,"SBrkr",1309,0,0,1309,1,0,1,1,3,1,4,5,7,1,2,"Attchd",1974,2,2,484,3,3,2,265,0,0,0,0,648,2,"GdPrv","None",0,"1","2006","WD","Normal",181000,2.5,1,7,0,2349,0,811
"812","1 story PUD 1946 & newer","RM",95,4438,1,"None",3,"Lvl","Inside",2,"CollgCr","Norm","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd",1,169,4,3,"PConc",4,3,4,6,662,1,0,186,848,"GasA",5,1,"SBrkr",848,0,0,848,1,0,1,0,1,1,4,4,7,1,4,"Attchd",2004,3,2,420,3,3,2,140,0,0,0,0,0,0,"None","None",0,"6","2008","ConLD","Normal",144500,2,0,4,0,1696,0,812
"813","1 story 1946 & newer","C (all)",66,8712,0,"None",3,"Bnk","Inside",1,"IDOTRR","Norm","Norm","1Fam","1Story",5,5,1952,1952,"Hip","CompShg","Wd Sdng","Wd Sdng",0,0,2,3,"CBlock",3,3,3,1,0,1,0,540,540,"GasA",3,0,"FuseA",1044,0,0,1044,0,0,1,0,2,1,2,4,7,0,0,"Basment",1952,1,2,504,3,3,0,0,0,0,0,0,0,0,"None","Shed",54,"6","2010","WD","Alloca",55993,1,0,58,0,1584,0,813
"814","1 story 1946 & newer","RL",75,9750,1,"None",3,"Lvl","Inside",2,"NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Gable","CompShg","MetalSd","MetalSd",1,243,3,3,"CBlock",3,3,1,3,608,1,0,834,1442,"GasA",4,1,"SBrkr",1442,0,0,1442,0,0,1,1,4,1,3,7,7,0,0,"Attchd",1958,2,1,301,3,3,2,0,0,275,0,0,0,0,"None","Shed",500,"4","2007","COD","Normal",157900,1.5,0,49,0,2884,275,814
"815","1.5 story fin all ages","RL",45,8248,1,"Grvl",3,"Lvl","Inside",2,"Edwards","Norm","Norm","1Fam","1.5Fin",5,7,1918,1950,"Gable","CompShg","Stucco","Stucco",0,0,3,3,"BrkTil",3,3,1,1,0,1,0,686,686,"GasW",4,1,"SBrkr",686,564,0,1250,0,1,1,1,3,1,2,7,7,0,0,"Detchd",1955,1,1,280,3,3,1,207,0,96,0,0,0,0,"None","None",0,"7","2006","WD","Normal",116000,2,1,56,0,1936,96,815
"816","1 story 1946 & newer","RL",48,12137,1,"None",1,"Lvl","CulDSac",2,"CollgCr","Norm","Norm","1Fam","1Story",7,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd",1,442,3,3,"PConc",4,3,1,1,0,1,0,1649,1649,"GasA",5,1,"SBrkr",1661,0,0,1661,0,0,2,0,3,1,4,6,7,0,0,"Attchd",1998,2,2,598,3,3,2,0,34,0,0,0,0,0,"None","None",0,"5","2010","WD","Normal",224900,2,0,12,0,3310,34,816
"817","1 story 1946 & newer","RL",119,11425,1,"None",2,"Lvl","Corner",2,"NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","BrkFace","BrkFace",0,0,3,3,"CBlock",3,3,1,4,486,1,0,522,1008,"GasA",4,1,"SBrkr",1008,0,0,1008,0,0,1,0,2,1,3,4,7,1,4,"Attchd",1954,2,1,275,3,3,2,0,0,120,0,0,0,0,"None","None",0,"7","2006","WD","Normal",137000,1,0,52,0,2016,120,817
"818","1 story 1946 & newer","RL",71,13265,1,"None",2,"Lvl","CulDSac",2,"Mitchel","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","CemntBd","CmentBd",1,148,4,3,"PConc",4,3,1,6,1218,1,0,350,1568,"GasA",5,1,"SBrkr",1689,0,0,1689,1,0,2,0,3,1,4,7,7,2,4,"Attchd",2002,2,3,857,3,3,2,150,59,0,0,0,0,0,"None","None",0,"7","2008","WD","Normal",271000,3,0,6,0,3257,59,818
"819","split/multi level","RL",80,8816,1,"None",3,"Lvl","Inside",2,"ClearCr","Norm","Norm","1Fam","SLvl",6,7,1971,1971,"Gable","CompShg","HdBoard","HdBoard",1,80,3,3,"CBlock",3,3,3,6,504,1,0,506,1010,"GasA",4,1,"SBrkr",1052,0,0,1052,1,0,1,0,3,1,3,6,7,0,0,"Attchd",1971,1,2,440,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,"6","2010","WD","Normal",155000,2,0,39,0,2062,0,819
"820","1 story PUD 1946 & newer","RL",44,6371,1,"None",2,"Lvl","Inside",2,"NridgHt","Norm","Norm","TwnhsE","1Story",7,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd",2,128,4,3,"PConc",4,3,2,6,733,1,0,625,1358,"GasA",5,1,"SBrkr",1358,0,0,1358,1,0,2,0,2,1,4,6,7,1,4,"Attchd",2010,2,2,484,3,3,2,192,35,0,0,0,0,0,"None","None",0,"6","2010","New","Partial",224000,3,1,0,0,2716,35,820
"821","2 story 1946 & newer","RL",72,7226,1,"None",2,"Lvl","CulDSac",2,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd",0,0,4,3,"PConc",4,3,1,1,0,1,0,798,798,"GasA",5,1,"SBrkr",798,842,0,1640,0,0,2,1,3,1,4,6,7,0,0,"Attchd",2003,2,2,595,3,3,2,0,45,0,0,0,0,0,"None","None",0,"6","2008","WD","Normal",183000,2.5,0,5,0,2438,45,821
"822","1 story 1946 & newer","RM",60,6000,1,"Pave",3,"Bnk","Inside",1,"OldTown","Norm","Norm","2fmCon","1Story",4,4,1953,1953,"Gable","CompShg","MetalSd","MetalSd",0,0,2,3,"CBlock",2,3,1,1,0,1,0,936,936,"GasA",3,0,"SBrkr",936,0,0,936,0,0,1,0,2,1,3,4,5,0,0,"Detchd",1974,1,2,576,3,3,2,0,32,112,0,0,0,0,"None","None",0,"2","2009","WD","Normal",93000,1,0,56,0,1872,144,822
